alpha,epoch,train_loss,validation_macro_f1
0.5,1,0.1833563825820256,0.46057994509952027
0.5,2,0.17252130351454223,0.4290069248092791
0.5,3,0.17116369844095322,0.43386501742213185
0.5,4,0.17073223129735457,0.433680247532751
0.5,5,0.16966199517257183,0.44139072988367817
0.5,6,0.16903230484711657,0.436500335039717
0.5,7,0.16854408258228884,0.4493835064726728
0.75,1,0.14553817052302032,0.4652421617661579
0.75,2,0.1374510681400617,0.4716903497761608
0.75,3,0.136188883786987,0.47050651284982986
0.75,4,0.1358657730314954,0.44913106071662895
0.75,5,0.13554193308569598,0.47289129359215815
0.75,6,0.13486832763548892,0.4756497526064833
0.75,7,0.13426721819646753,0.46800509007337077
0.75,8,0.13421577156273612,0.4742190381471665
0.75,9,0.13414756457604268,0.45887901924063285
0.75,10,0.13316866691580184,0.46648401733724354
0.75,11,0.1327856520219539,0.47225975433257
0.75,12,0.13267169215818445,0.47630585909194817
0.75,13,0.13207992817705896,0.4583174417473151
0.75,14,0.1323011384622952,0.4731924500074142
0.75,15,0.13200829147744272,0.47875405949202504
0.75,16,0.13134473906866667,0.47168392499520806
0.75,17,0.1316535830561825,0.46779203154326043
0.75,18,0.13133617760214153,0.46388561309319476
0.75,19,0.1301228623423806,0.47272798193486504
0.75,20,0.12973982297758976,0.4784433573971992
0.75,21,0.12963470681058137,0.46754186358085703
1.0,1,0.1079027634094001,0.4073324992177479
1.0,2,0.10236093744398829,0.35825687199451933
1.0,3,0.1014196781579304,0.38299629428555204
1.0,4,0.10106563365184595,0.3667718900072516
1.0,5,0.10038830850617374,0.3757635002542286
1.0,6,0.09977592934439679,0.4137184597945837
1.0,7,0.09953676135045712,0.3955031754844574
1.0,8,0.09939914683941202,0.42154963171002985
1.0,9,0.09931954463605398,0.39461358774606103
1.0,10,0.09922311497822613,0.3505164531981642
1.0,11,0.09897168010131474,0.3840101881352896
1.0,12,0.09852391445174637,0.4154543401365183
1.0,13,0.09806590573044464,0.38892295840527313
1.0,14,0.09791189573661584,0.39125207293296443
