model,weight_alpha,validation_macro_f1,training_seconds
CatBoost,0.5,0.45542091554512826,202.74101789999986
CatBoost,0.75,0.47532280451241354,175.59818559999985
CatBoost,1.0,0.41601776780142236,150.80003670000224
XGBoost,0.5,0.4583018922463873,52.14373190000333
XGBoost,0.75,0.46570818806217096,59.502802499999234
XGBoost,1.0,0.43907624540525525,53.84020669999882
FT-Transformer,0.5,0.46057994509952027,43.32571810000081
FT-Transformer,0.75,0.47875405949202504,129.49958719999995
FT-Transformer,1.0,0.42154963171002985,87.8148575999985
